Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
RForest,0.09187516814635459,0.5,0.09187516814635459,1.0,0.16828877664161637,0.015461559651092813,"[[    0 20253]
 [    0  2049]]",[1 1 1 ... 1 1 1]
RForest,0.09573132454488387,0.5005878058374158,0.09197369606341771,0.9965836993655441,0.1684054265803472,0.02377135902035714,"[[   93 20160]
 [    7  2042]]",[1 1 1 ... 1 1 1]
RForest,0.09187516814635459,0.5,0.09187516814635459,1.0,0.16828877664161637,0.015461559651092813,"[[    0 20253]
 [    0  2049]]",[1 1 1 ... 1 1 1]
RForest,0.09505873912653574,0.5006561578752066,0.09198505917825481,0.997559785261103,0.1684384013185002,0.02226368917392891,"[[   76 20177]
 [    5  2044]]",[1 1 1 ... 1 1 1]
RForest,0.08232445520581114,0.4480234260614934,0.08311829417357056,0.8960468521229868,0.1521252796420582,0.013976535646425309,"[[    0 20253]
 [  213  1836]]",[1 1 1 ... 1 1 1]
RForest,0.9076764415747467,0.49975312299412433,0.0,0.0,0.0,0.8641753894094886,"[[20243    10]
 [ 2049     0]]",[0 0 0 ... 0 0 0]
RForest,0.8123038292529818,0.457331737416267,0.02063705697622252,0.02244997559785261,0.02150537634408602,0.8158336542176101,"[[18070  2183]
 [ 2003    46]]",[0 0 0 ... 0 0 0]
RForest,0.09245807550892296,0.49505692954838715,0.09104806438559418,0.9882869692532943,0.16673528200905724,0.018626956396453197,"[[   37 20216]
 [   24  2025]]",[1 1 1 ... 1 1 1]
RForest,0.09362389023405973,0.47091409338052265,0.08695256719268725,0.9331381161542216,0.1590814543639238,0.030158761927656468,"[[  176 20077]
 [  137  1912]]",[1 1 1 ... 1 1 1]
RForest,0.08770513855259618,0.22353682721768747,0.040160844433274695,0.38994631527574425,0.07282172803499819,0.09942664535299574,"[[ 1157 19096]
 [ 1250   799]]",[0 0 0 ... 0 0 0]
RForest,0.23186261321854543,0.4520547504521681,0.08198447893569845,0.7218155197657394,0.147244760814376,0.2870583740912793,"[[ 3692 16561]
 [  570  1479]]",[1 1 1 ... 1 1 1]
RForest,0.8489821540668998,0.5005563226936212,0.0931523750771129,0.0736944851146901,0.08228882833787465,0.840965719234926,"[[18783  1470]
 [ 1898   151]]",[0 0 0 ... 0 0 0]
RForest,0.8415837144650704,0.5743463416189305,0.20272435897435898,0.24694973157637873,0.22266226622662266,0.8484899749149715,"[[18263  1990]
 [ 1543   506]]",[0 0 0 ... 0 0 0]
RForest,0.713657967895256,0.6752120087915685,0.18622485892056143,0.6281112737920937,0.2872767857142857,0.7718182559595551,"[[14629  5624]
 [  762  1287]]",[1 1 1 ... 0 0 1]
RForest,0.14267778674558335,0.41654960792822915,0.07646504242544534,0.7520741825280625,0.13881632285379694,0.14579839840065437,"[[ 1641 18612]
 [  508  1541]]",[1 1 1 ... 0 0 0]
RForest,0.8793830149762353,0.5569939966596782,0.25440613026819925,0.16203025866276233,0.19797257006559332,0.8670928484062106,"[[19280   973]
 [ 1717   332]]",[0 0 0 ... 0 0 0]
RForest,0.24531432158550803,0.40572428616941514,0.07153623188405797,0.6022449975597852,0.12788227369293745,0.31585708230532483,"[[ 4237 16016]
 [  815  1234]]",[0 0 0 ... 0 0 0]
RForest,0.8125728634203211,0.4809485773631208,0.062782109150595,0.0746705710102489,0.06821221578243425,0.8197719244723051,"[[17969  2284]
 [ 1896   153]]",[0 0 0 ... 1 0 1]
RForest,0.17285445251546946,0.4145210596929804,0.07540134645261523,0.7105905319668131,0.1363359707851491,0.19997191920280263,"[[ 2399 17854]
 [  593  1456]]",[0 0 0 ... 1 1 1]
RForest,0.08837772397094432,0.34936606105532225,0.06521118721461187,0.6691068814055637,0.11884020283448188,0.061531523774222156,"[[  600 19653]
 [  678  1371]]",[1 1 1 ... 0 0 0]
RForest,0.23849878934624696,0.505935964225317,0.09307901907356948,0.8335773548072231,0.16745918917594,0.2863408270399538,"[[ 3611 16642]
 [  341  1708]]",[0 0 0 ... 1 1 1]
RForest,0.36037126715092815,0.6324765869872034,0.12235686904909113,0.9658369936554417,0.21719804642484772,0.4370295341899291,"[[ 6058 14195]
 [   70  1979]]",[1 1 1 ... 0 0 0]
RForest,0.1290915612949511,0.4685086872150748,0.08629393275550053,0.8843338213762811,0.15724389291447913,0.10434514333983513,"[[ 1067 19186]
 [  237  1812]]",[0 0 0 ... 1 1 1]
RForest,0.18783068783068782,0.4767228599215531,0.08742551880008219,0.8306490971205466,0.15820049263373148,0.2101864885036113,"[[ 2487 17766]
 [  347  1702]]",[0 0 0 ... 1 1 1]
RForest,0.9044480315666756,0.4981949423251216,0.011904761904761904,0.0004880429477794046,0.0009376465072667605,0.8626454390531548,"[[20170    83]
 [ 2048     1]]",[0 0 0 ... 0 0 0]
